price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
4.099,22,3,2.5,11,2930,186,40,121,3.5799999,0
4.7490001,17,3,3,11,3350,173,40,258,2.53,0
3.799,22,,3,12,2640,168,35,121,3.0799999,0
4.816,20,3,4.5,16,3250,196,40,196,2.9300001,0
7.8270001,15,4,4,20,4080,222,43,350,2.4100001,0
5.7880001,18,3,4,21,3670,218,43,231,2.73,0
4.4530001,26,,3,10,2230,170,34,304,2.8699999,0
5.1890001,20,3,2,16,3280,200,42,196,2.9300001,0
10.372,16,3,3.5,17,3880,207,43,231,2.9300001,0
4.0819998,19,3,3.5,13,3400,200,42,231,3.0799999,0
11.385,14,3,4,20,4330,221,44,425,2.28,0
14.5,14,2,3.5,16,3900,204,43,350,2.1900001,0
15.906,21,3,3,13,4290,204,45,350,2.24,0
3.299,29,3,2.5,9,2110,163,34,231,2.9300001,0
5.7049999,16,4,4,20,3690,212,43,250,2.5599999,0
4.5040002,22,3,3.5,17,3180,193,31,200,2.73,0
5.1040001,22,2,2,16,3220,200,41,200,2.73,0
3.6670001,24,2,2,7,2750,179,40,151,2.73,0
3.9549999,19,3,3.5,13,3430,197,43,250,2.5599999,0
3.984,30,5,2,8,2120,163,35,98,3.54,0
4.0100002,18,2,4,17,3600,206,46,318,2.47,0
5.8860002,16,2,4,17,3600,206,46,318,2.47,0
6.342,17,2,4.5,21,3740,220,46,225,2.9400001,0
4.3889999,28,4,1.5,9,1800,147,33,98,3.1500001,0
4.1869998,21,3,2,10,2650,179,43,140,3.0799999,0
11.497,12,3,3.5,22,4840,233,51,400,2.47,0
13.594,12,3,2.5,18,4720,230,48,400,2.47,0
13.466,14,3,3.5,15,3830,201,41,302,2.47,0
3.829,22,4,3,9,2580,169,39,140,2.73,0
5.3790002,14,4,3.5,16,4060,221,48,302,2.75,0
6.165,15,3,3.5,23,3720,212,44,302,2.26,0
4.5159998,18,3,3,15,3370,198,41,250,2.4300001,0
6.303,14,4,3,16,4130,217,45,302,2.75,0
3.2909999,20,3,3.5,17,2830,195,43,140,3.0799999,0
8.8140001,21,4,4,20,4060,220,43,350,2.4100001,0
5.1719999,19,3,2,16,3310,198,42,231,2.9300001,0
4.7329998,19,3,4.5,16,3300,198,42,231,2.9300001,0
4.8899999,18,4,4,20,3690,218,42,231,2.73,0
4.1810002,19,3,4.5,14,3370,200,43,231,3.0799999,0
4.1950002,24,1,2,10,2730,180,40,151,2.73,0
10.371,16,3,3.5,17,4030,206,43,350,2.4100001,0
4.6469998,28,3,2,11,3260,170,37,156,3.05,0
4.4250002,34,5,2.5,11,1800,157,37,86,2.97,0
4.4819999,25,3,4,17,2200,165,36,105,3.3699999,0
6.4860001,26,,1.5,8,2520,182,38,119,3.54,0
4.0599999,18,2,5,16,3330,201,44,225,3.23,0
5.7979999,18,4,4,20,3700,214,42,231,2.73,0
4.934,18,1,1.5,7,3470,198,42,231,3.0799999,0
5.2220001,19,3,2,16,3210,201,45,231,2.9300001,0
4.723,19,3,3.5,17,3200,199,40,231,2.9300001,0
4.4239998,19,,3.5,13,3420,203,43,231,3.0799999,0
4.1719999,24,2,2,7,2690,179,41,151,2.73,0
9.6899996,17,5,3,15,2830,189,37,131,3.2,1
6.2950001,23,3,2.5,11,2070,174,36,97,3.7,1
9.7349997,25,4,2.5,12,2650,177,34,121,3.6400001,1
6.2290001,23,4,1.5,6,2370,170,35,119,3.8900001,1
4.5890002,35,5,2,8,2020,165,32,85,3.7,1
5.079,24,4,2.5,8,2280,170,34,119,3.54,1
8.1289997,21,4,2.5,8,2750,184,38,146,3.55,1
4.296,21,3,2.5,16,2130,161,36,105,3.3699999,1
5.7989998,25,5,3,10,2240,172,36,107,3.05,1
4.4990001,28,4,2.5,5,1760,149,34,91,3.3,1
3.9949999,30,4,3.5,11,1980,154,33,86,3.73,1
12.99,14,,3.5,14,3420,192,38,163,3.5799999,1
3.895,26,3,3,10,1830,142,34,79,3.72,1
3.7980001,35,5,2.5,11,2050,164,36,97,3.8099999,1
5.8990002,18,5,2.5,14,2410,174,36,134,3.0599999,1
3.7479999,31,5,3,9,2200,165,35,97,3.21,1
5.7189999,18,5,2,11,2670,175,36,134,3.05,1
7.1399999,23,4,2.5,12,2160,172,36,97,3.74,1
5.3969998,41,5,3,15,2040,155,35,90,3.78,1
4.697,25,4,3,15,1930,155,35,89,3.78,1
6.8499999,25,4,2,16,1990,156,36,97,3.78,1
11.995,17,5,2.5,14,3170,193,37,163,2.98,1
